,listing_id,num_rooms,square_meters,renovation,ceiling_height,garbage_chute,house_size,flat_floor,type_of_building,price_per_month,deposit,utility_bills,rental_period,prepayment,metro,balcony_count,loggia_count,combined_bathroom_count,separated_bathroom_count,windows_street,windows_yard,kids_allowded,pets_allowded,is_dishwasher,is_internet,is_air_conditioner,is_bathtub,is_shower,is_tv,is_furniture_in_kitchen,is_washing_machine,is_furniture_in_rooms,is_fridge,is_phone,passenger_elevator_capacity,cargo_elevator_capacity,square_meters_rounded,parking_mult_lev,roof_parking,ground_parking,parking_unknown,parking_open,undergr_parking
251,270883351,1.0,29.0,3,2.64,0,11,9,0.17852962488155621,45000.0,45000.0,0.0,0,1.0,0.0022295301265258345,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,3,3,30.0,0,0,1,0,0,0
252,273780889,2.0,56.0,2,2.75,1,22,15,0.17852962488155621,45000.0,45000.0,0.0,0,1.0,0.0022295301265258345,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,55.0,0,0,0,1,0,0
253,272536453,2.0,54.0,2,3.0,1,14,2,0.3552198874087286,45000.0,46000.0,0.0,0,1.0,0.0022295301265258345,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,2,1,55.0,0,0,0,1,0,0
254,268878838,2.0,64.0,3,2.64,1,14,12,0.3552198874087286,49700.0,49700.0,0.0,0,1.0,0.0006131207847946045,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,2,0,65.0,0,0,0,1,0,0
255,270572812,2.0,48.1,2,2.8,0,11,4,0.17852962488155621,50000.0,45000.0,0.0,0,1.0,0.0022295301265258345,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,2,2,50.0,0,0,1,0,0,0
256,269471423,5.0,124.0,2,2.64,0,14,14,0.3552198874087286,100000.0,100000.0,0.0,0,1.0,0.0006131207847946045,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,125.0,0,0,0,1,0,0
257,274741628,1.0,33.0,3,2.64,0,11,10,0.17852962488155621,30000.0,30000.0,0.0,0,1.0,0.0022295301265258345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,0,0,0,1,0,0
258,274812555,1.0,37.7,3,2.74,1,17,3,0.3552198874087286,32000.0,32000.0,0.0,0,1.0,0.0022852683796889804,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,40.0,0,0,0,1,0,0
259,274939275,1.0,38.0,2,3.0,1,17,5,0.3552198874087286,35000.0,35000.0,0.0,0,1.0,0.0022295301265258345,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,2,1,40.0,0,0,0,1,0,0
260,274891201,1.0,40.0,2,2.75,1,22,14,0.3552198874087286,35000.0,35000.0,0.0,0,1.0,0.0022295301265258345,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,3,0,40.0,0,0,0,1,0,0
261,274792043,1.0,27.0,3,2.64,0,9,9,0.17852962488155621,35000.0,35000.0,0.0,0,1.0,0.0022295301265258345,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,2,0,25.0,0,0,0,1,0,0
262,274557406,1.0,27.7,3,2.64,0,14,10,0.17852962488155621,35000.0,35000.0,0.0,0,1.0,0.0022295301265258345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,30.0,0,0,0,1,0,0
263,274537001,1.0,40.0,3,2.74,1,17,5,0.3552198874087286,35500.0,35500.0,0.0,0,1.0,0.0022852683796889804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,40.0,0,0,0,1,0,0
264,274866930,1.0,41.0,1,2.64,1,17,15,0.17852962488155621,39000.0,39000.0,0.0,0,1.0,0.0022295301265258345,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,40.0,0,0,0,1,0,0
265,274917171,2.0,52.2,3,2.64,1,12,11,0.3552198874087286,47000.0,47000.0,0.0,0,1.0,0.0087509057466139,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,2,0,50.0,0,0,0,1,0,0
266,274040469,3.0,102.0,1,3.0,0,14,8,0.13204392174349255,330000.0,330000.0,0.0,0,1.0,0.0010590268100997716,0,0,2,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,100.0,0,0,0,0,0,1
268,212024381,4.0,134.1,1,3.0,1,8,7,0.17852962488155621,270000.0,270000.0,0.0,0,1.0,0.003734462961930773,1,0,2,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,135.0,0,0,0,0,0,1
269,268876926,4.0,108.0,2,3.2,0,5,3,0.13204392174349255,230000.0,230000.0,0.0,0,1.0,0.0006131207847946045,0,0,2,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,110.0,0,0,0,1,0,0
270,273737770,3.0,160.0,2,2.64,0,16,6,0.13204392174349255,150000.0,150000.0,0.0,0,1.0,0.004291845493562232,0,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,160.0,0,0,0,1,0,0
